REGISTRATION,CONTACT_MONTHS_AGO
"ABRINK@EMAIL4.COM",12
"ABRINK@EMAIL4.COM",11
"ABRINK@EMAIL4.COM",11
"ABRINK@EMAIL4.COM",10
"ABRINK@EMAIL4.COM",7
"ABRINK@EMAIL4.COM",3
"ABRINK@EMAIL4.COM",3
"ABRINK@EMAIL4.COM",2
"ADRIAN.ALBA",12
"ADRIAN.ALBA",5
"ADRIAN.ALBA",3
"ADRIAN.ALBA",2
"ADRIAN.ALBA",2
"ADRIAN.ALBA@EMAIL2.COM",9
"ADRIAN.ALBA@EMAIL2.COM",8
"ADRIAN.ALBA@EMAIL2.COM",8
"ADRIAN.ALBA@EMAIL2.COM",8
"ADRIAN.ALBA@EMAIL2.COM",6
"ADRIAN.ALBA@EMAIL2.COM",6
"ADRIAN.ALBA@EMAIL2.COM",4
"ADRIAN.ALBA@EMAIL2.COM",2
"ADRIAN.BARNFIELD",5
"ADRIAN.BAUER",10
"ADRIAN.BAUER",8
"ADRIAN.BAUER",7
"ADRIAN.BAUER",4
"ADRIAN.BAUER",4
"ADRIAN.BAUER",3
"ADRIAN.BAUER",2
"ADRIAN.BAUER",2
"ADRIAN.BAUER@EMAIL1.COM",11
"ADRIAN.BAUER@EMAIL2.COM",6
"ADRIAN.BAUER@EMAIL3.COM",6
"ADRIAN.BIRD",12
"ADRIAN.BIRD",10
"ADRIAN.BIRD",7
"ADRIAN.BIRD",6
"ADRIAN.BIRD",5
"ADRIAN.BIRD@EMAIL2.COM",11
"ADRIAN.BIRD@EMAIL2.COM",10
"ADRIAN.BIRD@EMAIL2.COM",8
"ADRIAN.BIRD@EMAIL2.COM",6
"ADRIAN.BIRD@EMAIL2.COM",3
"ADRIAN.BODZ",6
"ADRIAN.BODZ@EMAIL2.COM",8
"ADRIAN.BRINK",5
"ADRIAN.BRINK@EMAIL2.COM",10
"ADRIAN.BRINK@EMAIL2.COM",8
"ADRIAN.BRINK@EMAIL2.COM",8
"ADRIAN.BRINK@EMAIL2.COM",6
"ADRIAN.BRINK@EMAIL2.COM",5
"ADRIAN.BRINK@EMAIL2.COM",5
"ADRIAN.BRINK@EMAIL2.COM",3
"ADRIAN.BRINK@EMAIL2.COM",2
"ADRIAN.BRINK@EMAIL3.COM",12
"ADRIAN.BRINK@EMAIL3.COM",12
"ADRIAN.BRINK@EMAIL3.COM",10
"ADRIAN.BRINK@EMAIL3.COM",5
"ADRIAN.BRINK@EMAIL3.COM",2
"ADRIAN.CORTEZ",7
"ADRIAN.CORTEZ@EMAIL1.COM",12
"ADRIAN.CORTEZ@EMAIL1.COM",12
"ADRIAN.CORTEZ@EMAIL1.COM",6
"ADRIAN.CORTEZ@EMAIL1.COM",5
"ADRIAN.CORTEZ@EMAIL1.COM",2
"ADRIAN.CORTEZ@EMAIL2.COM",12
"ADRIAN.CORTEZ@EMAIL2.COM",10
"ADRIAN.CORTEZ@EMAIL2.COM",5
"ADRIAN.CORTEZ@EMAIL2.COM",3
"ADRIAN.CORTEZ@EMAIL2.COM",1
"ADRIAN.CORTEZ@EMAIL3.COM",4
"ADRIAN.DERN",11
"ADRIAN.DERN",11
"ADRIAN.DERN",8
"ADRIAN.DERN",8
"ADRIAN.DERN",7
"ADRIAN.DERN",5
"ADRIAN.DERN",4
"ADRIAN.DERN",2
"ADRIAN.DERN@EMAIL2.COM",9
"ADRIAN.DERN@EMAIL2.COM",6
"ADRIAN.DERN@EMAIL2.COM",1
"ADRIAN.DERN@EMAIL2.COM",1
"ADRIAN.DERN@EMAIL2.COM",1
"ADRIAN.HOUSE@EMAIL1.COM",12
"ADRIAN.HOUSE@EMAIL1.COM",10
"ADRIAN.HOUSE@EMAIL1.COM",8
"ADRIAN.HOUSE@EMAIL1.COM",6
"ADRIAN.HOUSE@EMAIL1.COM",5
"ADRIAN.HOUSE@EMAIL1.COM",3
"ADRIAN.HOUSE@EMAIL1.COM",3
"ADRIAN.HOUSE@EMAIL1.COM",2
"ADRIAN.HOUSE@EMAIL2.COM",9
"ADRIAN.HOUSE@EMAIL2.COM",6
"ADRIAN.HOUSE@EMAIL2.COM",6
"ADRIAN.HOUSE@EMAIL2.COM",6
"ADRIAN.HOUSE@EMAIL2.COM",4
"ADRIAN.HOUSE@EMAIL2.COM",3
"ADRIAN.HOUSE@EMAIL2.COM",2
"ADRIAN.HOUSE@EMAIL2.COM",1
"ADRIAN.HOUSE@EMAIL3.COM",12
"ADRIAN.HOUSE@EMAIL3.COM",8
"ADRIAN.HOUSE@EMAIL3.COM",7
"ADRIAN.HOUSE@EMAIL3.COM",3
"ADRIAN.HOUSE@EMAIL3.COM",2
"ADRIAN.JACKSON",6
"ADRIAN.JACKSON",5
"ADRIAN.JACKSON",4
"ADRIAN.JACKSON",4
"ADRIAN.JACKSON",1
"ADRIAN.JACKSON@EMAIL1.COM",10
"ADRIAN.JACKSON@EMAIL1.COM",5
"ADRIAN.JACKSON@EMAIL1.COM",4
"ADRIAN.JACKSON@EMAIL1.COM",3
"ADRIAN.JACKSON@EMAIL1.COM",2
"ADRIAN.JACKSON@EMAIL3.COM",12
"ADRIAN.JACKSON@EMAIL3.COM",11
"ADRIAN.JACKSON@EMAIL3.COM",9
"ADRIAN.JACKSON@EMAIL3.COM",9
"ADRIAN.JACKSON@EMAIL3.COM",7
"ADRIAN.JACKSON@EMAIL3.COM",7
"ADRIAN.JACKSON@EMAIL3.COM",5
"ADRIAN.JACKSON@EMAIL3.COM",5
"ADRIAN.KODJO@EMAIL2.COM",11
"ADRIAN.KODJO@EMAIL2.COM",5
"ADRIAN.KODJO@EMAIL2.COM",5
"ADRIAN.KODJO@EMAIL2.COM",3
"ADRIAN.KODJO@EMAIL2.COM",1
"ADRIAN.MONK",12
"ADRIAN.MONK",10
"ADRIAN.MONK",5
"ADRIAN.MONK",3
"ADRIAN.MONK",3
"ADRIAN.MONK@EMAIL2.COM",12
"ADRIAN.MONK@EMAIL2.COM",10
"ADRIAN.MONK@EMAIL2.COM",10
"ADRIAN.MONK@EMAIL2.COM",10
"ADRIAN.MONK@EMAIL2.COM",8
"ADRIAN.MONK@EMAIL2.COM",5
"ADRIAN.MONK@EMAIL2.COM",4
"ADRIAN.MONK@EMAIL2.COM",2
"ADRIAN.MOSS",7
"ADRIAN.MOSS@EMAIL1.COM",11
"ADRIAN.MOSS@EMAIL1.COM",10
"ADRIAN.MOSS@EMAIL1.COM",8
"ADRIAN.MOSS@EMAIL1.COM",6
"ADRIAN.MOSS@EMAIL1.COM",6
"ADRIAN.MOSS@EMAIL1.COM",5
"ADRIAN.MOSS@EMAIL1.COM",4
"ADRIAN.MOSS@EMAIL1.COM",3
"ADRIAN.MOSS@EMAIL3.COM",11
"ADRIAN.MOSS@EMAIL3.COM",10
"ADRIAN.MOSS@EMAIL3.COM",6
"ADRIAN.MOSS@EMAIL3.COM",6
"ADRIAN.MOSS@EMAIL3.COM",4
"ADRIAN.PITT",5
"ADRIAN.PITT@EMAIL1.COM",10
"ADRIAN.PITT@EMAIL2.COM",11
"ADRIAN.PITT@EMAIL2.COM",8
"ADRIAN.PITT@EMAIL2.COM",7
"ADRIAN.PITT@EMAIL2.COM",5
"ADRIAN.PITT@EMAIL2.COM",5
"ADRIAN.POLO",7
"ADRIAN.POLO",6
"ADRIAN.POLO",4
"ADRIAN.POLO",2
"ADRIAN.POLO",1
"ADRIAN.READY",11
"ADRIAN.READY",6
"ADRIAN.READY",6
"ADRIAN.READY",4
"ADRIAN.READY",2
"ADRIAN.READY@EMAIL2.COM",12
"ADRIAN.READY@EMAIL2.COM",7
"ADRIAN.READY@EMAIL2.COM",5
"ADRIAN.READY@EMAIL2.COM",5
"ADRIAN.READY@EMAIL2.COM",2
"ADRIAN.READY@EMAIL3.COM",12
"ADRIAN.ROBERTS@EMAIL3.COM",1
"ADRIAN.TOWB",11
"ADRIAN.TOWB",10
"ADRIAN.TOWB",8
"ADRIAN.TOWB",4
"ADRIAN.TOWB",2
"ADRIAN.TOWB@EMAIL1.COM",7
"ADRIAN.TOWB@EMAIL1.COM",7
"ADRIAN.TOWB@EMAIL1.COM",6
"ADRIAN.TOWB@EMAIL1.COM",1
"ADRIAN.TOWB@EMAIL1.COM",1
"ADRIAN.TOWB@EMAIL2.COM",6
"ADRIAN.TOWB@EMAIL3.COM",11
"ADRIAN.TOWB@EMAIL3.COM",11
"ADRIAN.TOWB@EMAIL3.COM",10
"ADRIAN.TOWB@EMAIL3.COM",7
"ADRIAN.TOWB@EMAIL3.COM",6
"ADRIAN.TOWB@EMAIL3.COM",4
"ADRIAN.TOWB@EMAIL3.COM",4
"ADRIAN.TOWB@EMAIL3.COM",4
"ADRIAN.WEBB",3
"ADRIAN.WEBB@EMAIL1.COM",12
"ADRIAN.WEBB@EMAIL1.COM",9
"ADRIAN.WEBB@EMAIL1.COM",5
"ADRIAN.WEBB@EMAIL1.COM",5
"ADRIAN.WEBB@EMAIL1.COM",3
"ADRIAN.WEBB@EMAIL1.COM",1
"ADRIAN.WEBB@EMAIL1.COM",1
"ADRIAN.WEBB@EMAIL1.COM",1
"ADRIAN.WEBB@EMAIL2.COM",11
"ADRIAN.WEBB@EMAIL3.COM",12
"ADRIAN.WEBB@EMAIL3.COM",10
"ADRIAN.WEBB@EMAIL3.COM",10
"ADRIAN.WEBB@EMAIL3.COM",9
"ADRIAN.WEBB@EMAIL3.COM",8
"ADRIAN.WEBB@EMAIL3.COM",7
"ADRIAN.WEBB@EMAIL3.COM",5
"ADRIAN.WEBB@EMAIL3.COM",5
"ADRIANBAUER@EMAIL1.COM",12
"ADRIANBAUER@EMAIL1.COM",11
"ADRIANBAUER@EMAIL1.COM",11
"ADRIANBAUER@EMAIL1.COM",10
"ADRIANBAUER@EMAIL1.COM",7
"ADRIANBAUER@EMAIL1.COM",3
"ADRIANBAUER@EMAIL1.COM",2
"ADRIANBAUER@EMAIL1.COM",1
"ADRIANBIRD@EMAIL1.COM",12
"ADRIANBIRD@EMAIL1.COM",12
"ADRIANBIRD@EMAIL1.COM",12
"ADRIANBIRD@EMAIL1.COM",6
"ADRIANBIRD@EMAIL1.COM",6
"ADRIANBIRD@EMAIL1.COM",6
"ADRIANBIRD@EMAIL1.COM",5
"ADRIANBIRD@EMAIL1.COM",4
"ADRIANBODZ@EMAIL1.COM",3
