CUST_ID,REGISTRATION,AGE,GENDER,MARITAL_STATUS,PROFESSION,EDUCATION,INCOME,MEMBERS_IN_HOUSEHOLD,PRODUCT_BROWSED_TOTAL,PRODUCT_BROWSED_AVERAGE,PRODUCT_PURCHASED_TOTAL,PRODUCT_PURCHASED_AVERAGE,ITEMS_PLACED_IN_CART_TOTAL,ITEMS_PLACED_IN_CART_AVERAGE,ONSITE_SEARCHES_TOTAL,ONSITE_SEARCHES_AVERAGE,PAGE_VIEWS_TOTAL,PAGE_VIEWS_AVERAGE,AMOUNT_BROWSED_TOTAL,AMOUNT_BROWSED_AVERAGE,AMOUNT_CARTED_TOTAL,AMOUNT_CARTED_AVERAGE,AMOUNT_PURCHASED_TOTAL,AMOUNT_PURCHASED_AVERAGE,AMOUNT_ABANDONED_TOTAL,AMOUNT_ABANDONED_AVERAGE,NUMBER_OF_ACTIVITIES_TOTAL,NUMBER_OF_ACTIVITIES_AVERAGE,NUMBER_OF_SESSIONS,BUYER_CATEGORY,LTV,DEMOGRAPHIC_CLUSTER,ONLINE_BEHAVIOR_CLUSTER,BUYING_BEHAVIOR_CLUSTER,MBA_Browse_1,MBA_Browse_2,MBA_Browse_3,Purchase_MBA_1,Purchase_MBA_2,Purchase_MBA_3,Instore_MBA_1,Instore_MBA_2,Instore_MBA_3,Line_Purchased,Line_Browsed,Line_Search,Line_PageView,Line_Affinity,$L-Line_Affinity,$LP-Line_Affinity,$LP-Big Screen TV,$LP-Computers,$LP-MP3,$LP-Receivers,$LP-Smart Phone,$LP-Speakers,$LP-Standard TV,PURCHASED_AE683260224O,PURCHASED_AE683260524O,PURCHASED_AE683260724O,PURCHASED_AE683260824O,PURCHASED_AE683666822O,PURCHASED_AE683666823O,PURCHASED_AE683666824O,PURCHASED_AE683667024O,PURCHASED_AE683668024O,PURCHASED_AE683769624O,PURCHASED_AE683769824O,PURCHASED_AE744080224O,PURCHASED_AE744080324O,PURCHASED_AE744080422O,PURCHASED_AE744080522O,PURCHASED_AE744870124O,PURCHASED_AE744870324O,PURCHASED_AE744870424O,PURCHASED_AE744870524O,PURCHASED_AE745285622O,PURCHASED_AE745285722O,PURCHASED_AE745285822O,PURCHASED_AE745285922O,PURCHASED_AE745286022O,PURCHASED_AE745486322O,PURCHASED_AE745486422O,PURCHASED_AE745486524O,PURCHASED_AE745486622O,PURCHASED_AE745486724O,PURCHASED_AE745486822O,BROWSED_AE683260224O,BROWSED_AE683260524O,BROWSED_AE683260724O,BROWSED_AE683260824O,BROWSED_AE683666822O,BROWSED_AE683666823O,BROWSED_AE683666824O,BROWSED_AE683667024O,BROWSED_AE683668024O,BROWSED_AE683769624O,BROWSED_AE683769824O,BROWSED_AE744080224O,BROWSED_AE744080324O,BROWSED_AE744080422O,BROWSED_AE744080522O,BROWSED_AE744870124O,BROWSED_AE744870324O,BROWSED_AE744870424O,BROWSED_AE744870524O,BROWSED_AE745285622O,BROWSED_AE745285722O,BROWSED_AE745285822O,BROWSED_AE745285922O,BROWSED_AE745286022O,BROWSED_AE745486322O,BROWSED_AE745486422O,BROWSED_AE745486524O,BROWSED_AE745486622O,BROWSED_AE745486724O,BROWSED_AE745486822O
"0.000000","",0,"Missing","","Missing","Missing",0,0,554,0.836858,0,0.000000,83,0.125378,193,0.291541,3553,5.367069,215531,555.492268,33636,86.690722,0,0.000000,33636,50.809668,7434,11.229607,662,"","LOW VALUE","MIDDLE INCOME SCHOOL EDUCATED","VISITOR","INSTORE MEDIUM VALUE OFFER SEEKER","Computers","Computers","Computers","Computers","Computers","Computers","Computers","Computers","Computers","Computers","Computers","Computers","Computers","Computers","Smart Phone",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0.000000","",0,"Missing","","Missing","Missing",0,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,"","LOW VALUE","MIDDLE INCOME SCHOOL EDUCATED","VISITOR","INSTORE MEDIUM VALUE OFFER SEEKER","Big Screen TV","No Offer","No Offer","Computers","Computers","Computers","Computers","Computers","Computers","Computers","Computers","Computers","Computers","Computers","Smart Phone",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0.000000","",52,"F","S","Private Sector","High School",48380,1,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,"","LOW VALUE","MIDDLE INCOME SCHOOL EDUCATED","VISITOR","INSTORE MEDIUM VALUE OFFER SEEKER","No Offer","No Offer","No Offer","No Offer","No Offer","No Offer","No Offer","No Offer","No Offer","Computers","Computers","Computers","Computers","Computers","Computers",0.996243,0.000562,0.996243,0.000797,0.000758,0.000316,0.000737,0.000586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.000000","50524",44,"M","S","Private Sector","High School",36021,1,2,0.500000,0,0.000000,1,0.250000,0,0.000000,14,3.500000,1548,774.000000,1099,549.500000,0,0.000000,1099,274.750000,28,7.000000,4,"Product Viewer","MEDIUM VALUE","MIDDLE INCOME SCHOOL EDUCATED","PRODUCT VIEWER","INSTORE HIGH VALUE NON OFFER SEEKER","Speakers","Standard TV","Computers","3195","No Offer","No Offer","Receivers","Computers","Smart Phone","Speakers","Big Screen TV","Computers","Big Screen TV","Speakers","Speakers",0.361002,0.208007,0.005090,0.340457,0.008257,0.007175,0.361002,0.070013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.000000","226666",21,"F","U","Pharmacist","Post College",27677,2,0,0.000000,0,0.000000,0,0.000000,1,0.500000,7,3.500000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,8,4.000000,2,"Visitor","LOW VALUE","MARRIED WOMEN","VISITOR","INSTORE MEDIUM VALUE OFFER SEEKER","No Offer","No Offer","No Offer","No Offer","No Offer","No Offer","No Offer","No Offer","No Offer","Computers","Computers","Computers","Computers","Computers","Computers",0.269811,0.109190,0.269811,0.217106,0.115348,0.044071,0.201153,0.043322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.000000","254376",28,"F","U","Private Sector","High School",27569,2,4,0.800000,0,0.000000,0,0.000000,0,0.000000,22,4.400000,2255,563.750000,0,0.000000,0,0.000000,0,0.000000,51,10.200000,5,"Product Viewer","HIGH VALUE","MIDDLE INCOME SCHOOL EDUCATED","PRODUCT VIEWER","INSTORE HIGH VALUE NON OFFER SEEKER","Big Screen TV","MP3","Standard TV","No Offer","No Offer","No Offer","Receivers","Computers","Speakers","Smart Phone","Speakers","Computers","Standard TV","Smart Phone","Smart Phone",0.502536,0.102872,0.014786,0.247491,0.007726,0.502536,0.039356,0.085235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"4.000000","288205",47,"M","M","Engineer","College",75761,3,5,1.000000,0,0.000000,2,0.400000,3,0.600000,48,9.600000,1845,922.500000,598,299.000000,0,0.000000,598,119.600000,100,20.000000,5,"Product Viewer","LOW VALUE","HIGH INCOME FAMILY","PRODUCT VIEWER","INSTORE MEDIUM VALUE OFFER SEEKER","Standard TV","Computers","Speakers","3214","No Offer","No Offer","MP3","Receivers","Computers","Speakers","Receivers","Speakers","Receivers","Speakers","Speakers",0.823515,0.017842,0.010663,0.053668,0.054642,0.007684,0.823515,0.031987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"5.000000","660891",26,"M","U","Engineer","Post College",49660,2,3,1.000000,0,0.000000,0,0.000000,1,0.333333,9,3.000000,727,363.500000,0,0.000000,0,0.000000,0,0.000000,17,5.666667,3,"Product Viewer","HIGH VALUE","MARRIED MEN","PRODUCT VIEWER","ONLINE HIGH VALUE OFFER SEEKER","Standard TV","Computers","Speakers","No Offer","No Offer","No Offer","MP3","Receivers","Speakers","Computers","Receivers","Computers","Standard TV","Computers","Big Screen TV",0.728073,0.728073,0.108359,0.022743,0.005973,0.101179,0.019314,0.014360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"6.000000","817961",27,"M","S","Engineer","Post College",47997,1,3,0.600000,2,0.400000,2,0.400000,3,0.600000,69,13.800000,3027,3027.000000,1728,1728.000000,1728,1728.000000,1728,345.600000,135,27.000000,5,"Repeat Buyer","HIGH VALUE","HIGH INCOME SINGLE","REPEAT BUYER","ONLINE HIGH VALUE OFFER SEEKER","MP3","Computers","Standard TV","Standard TV","MP3","Receivers","Big Screen TV","Computers","Standard TV","Speakers","Big Screen TV","Computers","Big Screen TV","Speakers","Speakers",0.893094,0.018320,0.000505,0.058970,0.028522,0.000299,0.893094,0.000290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"7.000000","1378359",39,"M","S","Pharmacist","Post College",64542,1,1,0.333333,0,0.000000,0,0.000000,0,0.000000,14,4.666667,229,229.000000,0,0.000000,0,0.000000,0,0.000000,26,8.666667,3,"Product Viewer","LOW VALUE","HIGH INCOME SINGLE","PRODUCT VIEWER","INSTORE LOW VALUE NON OFFER SEEKER","Standard TV","MP3","Computers","No Offer","No Offer","No Offer","Receivers","Speakers","Computers","MP3","Receivers","Computers","Receivers","MP3","MP3",0.959700,0.011154,0.001755,0.959700,0.012500,0.001325,0.004501,0.009066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
